report_id,observed_date,category,metric_key,metric_name,value,unit,change_1d,change_1d_unit,change_ytd,change_ytd_unit,source,source_sheet,source_cell,raw_value
d4e140ca-82a1-45a1-8f29-5c9e74b68074,2025-07-22,investor_flows,fut_kr3y_individual,3년 국채선물 개인 순매수,-1.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-23.png:(332, 830, 412, 856)",-1
2368f315-d418-4bb5-a039-a15cd1556cf5,2025-07-23,investor_flows,stock_kospi_foreign,KOSPI 외국인 순매수,4228.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-24.png:(166, 745, 246, 771)",+4228
2368f315-d418-4bb5-a039-a15cd1556cf5,2025-07-23,investor_flows,stock_kospi_inst,KOSPI 기관 순매수,1917.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-24.png:(249, 745, 329, 771)","+1,917"
2368f315-d418-4bb5-a039-a15cd1556cf5,2025-07-23,investor_flows,stock_kospi_individual,KOSPI 개인 순매수,-6982.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-24.png:(332, 745, 412, 771)","-6,982"
2368f315-d418-4bb5-a039-a15cd1556cf5,2025-07-23,investor_flows,stock_kosdaq_foreign,KOSDAQ 외국인 순매수,-64.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-24.png:(166, 773, 246, 799)",-64
2368f315-d418-4bb5-a039-a15cd1556cf5,2025-07-23,investor_flows,stock_kosdaq_inst,KOSDAQ 기관 순매수,-1072.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-24.png:(249, 773, 329, 799)","-1,072"
2368f315-d418-4bb5-a039-a15cd1556cf5,2025-07-23,investor_flows,stock_kosdaq_individual,KOSDAQ 개인 순매수,1490.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-24.png:(332, 773, 412, 799)","+1,490"
2368f315-d418-4bb5-a039-a15cd1556cf5,2025-07-23,investor_flows,fut_kr3y_foreign,3년 국채선물 외국인 순매수,464.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-24.png:(166, 830, 246, 856)",+464
2368f315-d418-4bb5-a039-a15cd1556cf5,2025-07-23,investor_flows,fut_kr3y_inst,3년 국채선물 기관 순매수,-234.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-24.png:(249, 830, 329, 856)",-234
2368f315-d418-4bb5-a039-a15cd1556cf5,2025-07-23,investor_flows,fut_kr3y_individual,3년 국채선물 개인 순매수,-122.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-24.png:(332, 830, 412, 856)",-122
