png_date,png_file,report_date,observed_date,category,metric_key,metric_name,value,unit,change_1d,change_1d_unit,change_ytd,change_ytd_unit,source,source_sheet,source_cell,raw_value
2025-07-17,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-17.png,2025-07-16,2025-07-16,investor_flows,fut_kr3y_inst,3년 국채선물 기관 순매수,-146.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(249, 830, 329, 856)",-146
2025-07-17,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-17.png,2025-07-16,2025-07-16,investor_flows,fut_kr3y_individual,3년 국채선물 개인 순매수,-39.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(332, 830, 412, 856)",-39
2025-07-17,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-17.png,2025-07-16,2025-07-16,investor_flows,fut_kr10y_foreign,10년 국채선물 외국인 순매수,-12740.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(166, 858, 246, 884)","-12,740"
2025-07-17,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-17.png,2025-07-16,2025-07-16,investor_flows,fut_kr10y_inst,10년 국채선물 기관 순매수,1252.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(249, 858, 329, 884)","+12,52"
2025-07-17,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-17.png,2025-07-16,2025-07-16,investor_flows,fut_kr10y_individual,10년 국채선물 개인 순매수,-42.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(332, 858, 412, 884)",-42
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,stock_kospi_foreign,KOSPI 외국인 순매수,493.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(166, 745, 246, 771)",+493
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,stock_kospi_inst,KOSPI 기관 순매수,1583.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(249, 745, 329, 771)","+1,583"
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,stock_kospi_individual,KOSPI 개인 순매수,-3356.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(332, 745, 412, 771)","-3,356"
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,stock_kosdaq_foreign,KOSDAQ 외국인 순매수,-714.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(166, 773, 246, 799)",-714
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,stock_kosdaq_inst,KOSDAQ 기관 순매수,32.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(249, 773, 329, 799)",+32
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,stock_kosdaq_individual,KOSDAQ 개인 순매수,592.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(332, 773, 412, 799)",+592
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,fut_kospi200_foreign,KOSPI200 선물 외국인 순매수,-22.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(166, 801, 246, 827)",-22
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,fut_kospi200_inst,KOSPI200 선물 기관 순매수,938.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(249, 801, 329, 827)",+938
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,fut_kospi200_individual,KOSPI200 선물 개인 순매수,-1047.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(332, 801, 412, 827)","-1,047"
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,fut_kr3y_foreign,3년 국채선물 외국인 순매수,-8980.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(166, 830, 246, 856)","-8,980"
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,fut_kr3y_inst,3년 국채선물 기관 순매수,9089.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(249, 830, 329, 856)","+9,089"
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,fut_kr3y_individual,3년 국채선물 개인 순매수,-134.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(332, 830, 412, 856)",-134
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,fut_kr10y_foreign,10년 국채선물 외국인 순매수,-11229.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(166, 858, 246, 884)","-11,229"
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,fut_kr10y_inst,10년 국채선물 기관 순매수,10487.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(249, 858, 329, 884)","+10,487"
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,fut_kr10y_individual,10년 국채선물 개인 순매수,526.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(332, 858, 412, 884)",+526
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,stock_kospi_foreign,KOSPI 외국인 순매수,1878.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(166, 745, 246, 771)","+1,878"
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,stock_kospi_inst,KOSPI 기관 순매수,320.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(249, 745, 329, 771)",+320
